doid	disease	symbol
DOID:0014667	disease_of_metabolism	SDHD
DOID:0014667	disease_of_metabolism	ZFP57
DOID:0014667	disease_of_metabolism	GNA11
DOID:0014667	disease_of_metabolism	SDHA
DOID:0014667	disease_of_metabolism	FOLR1
DOID:0050013	carbohydrate_metabolism_disease	KCNJ11
DOID:0050013	carbohydrate_metabolism_disease	GLIS3
DOID:0050013	carbohydrate_metabolism_disease	SUMO4
DOID:0050013	carbohydrate_metabolism_disease	SLC2A2
DOID:0050013	carbohydrate_metabolism_disease	AKT2
DOID:0050013	carbohydrate_metabolism_disease	CCR5
DOID:0050013	carbohydrate_metabolism_disease	GPD2
DOID:0050013	carbohydrate_metabolism_disease	CAPN10
DOID:0050013	carbohydrate_metabolism_disease	PTPN22
DOID:0050013	carbohydrate_metabolism_disease	KLF11
DOID:0050013	carbohydrate_metabolism_disease	IGF2BP2
DOID:0050013	carbohydrate_metabolism_disease	PPP1R3A
DOID:0050013	carbohydrate_metabolism_disease	IRS1
DOID:0050013	carbohydrate_metabolism_disease	ITPR3
DOID:0050013	carbohydrate_metabolism_disease	CEL
DOID:0050013	carbohydrate_metabolism_disease	RETN
DOID:0050013	carbohydrate_metabolism_disease	APPL1
DOID:0050013	carbohydrate_metabolism_disease	HNF1B
DOID:0050013	carbohydrate_metabolism_disease	HNF1A
DOID:0050013	carbohydrate_metabolism_disease	CTLA4
DOID:0050013	carbohydrate_metabolism_disease	LIPC
DOID:0050013	carbohydrate_metabolism_disease	GCK
DOID:0050013	carbohydrate_metabolism_disease	ENPP1
DOID:0050013	carbohydrate_metabolism_disease	PAX4
DOID:0050013	carbohydrate_metabolism_disease	BLK
DOID:0050013	carbohydrate_metabolism_disease	MTNR1B
DOID:0050013	carbohydrate_metabolism_disease	GCGR
DOID:0050013	carbohydrate_metabolism_disease	PTPN1
DOID:0050013	carbohydrate_metabolism_disease	HMGA1
DOID:0050013	carbohydrate_metabolism_disease	MAPK8IP1
DOID:0050013	carbohydrate_metabolism_disease	IL2RA
DOID:0050013	carbohydrate_metabolism_disease	NEUROD1
DOID:0050013	carbohydrate_metabolism_disease	PPARG
DOID:0050013	carbohydrate_metabolism_disease	TCF7L2
DOID:0050013	carbohydrate_metabolism_disease	HNF4A
DOID:0050013	carbohydrate_metabolism_disease	TPI1
DOID:0050013	carbohydrate_metabolism_disease	IRS2
DOID:0050013	carbohydrate_metabolism_disease	INS
DOID:0050013	carbohydrate_metabolism_disease	IL6
DOID:0050013	carbohydrate_metabolism_disease	ABCC8
DOID:0050013	carbohydrate_metabolism_disease	ZFP57
DOID:0050013	carbohydrate_metabolism_disease	PDX1
DOID:0050013	carbohydrate_metabolism_disease	WFS1
DOID:0050013	carbohydrate_metabolism_disease	SLC30A8
DOID:0050155	sensory_system_disease	ASB10
DOID:0050155	sensory_system_disease	DHDDS
DOID:0050155	sensory_system_disease	GJB2
DOID:0050155	sensory_system_disease	TIMP3
DOID:0050155	sensory_system_disease	MERTK
DOID:0050155	sensory_system_disease	COL11A2
DOID:0050155	sensory_system_disease	MFRP
DOID:0050155	sensory_system_disease	RLBP1
DOID:0050155	sensory_system_disease	RPGR
DOID:0050155	sensory_system_disease	TSPAN12
DOID:0050155	sensory_system_disease	SALL2
DOID:0050155	sensory_system_disease	CRYBB1
DOID:0050155	sensory_system_disease	NYX
DOID:0050155	sensory_system_disease	GDF6
DOID:0050155	sensory_system_disease	PRPF8
DOID:0050155	sensory_system_disease	CHN1
DOID:0050155	sensory_system_disease	OAT
DOID:0050155	sensory_system_disease	SCO2
DOID:0050155	sensory_system_disease	FOXI1
DOID:0050155	sensory_system_disease	SEMA4A
DOID:0050155	sensory_system_disease	PRPF3
DOID:0050155	sensory_system_disease	ARL2BP
DOID:0050155	sensory_system_disease	LEMD2
DOID:0050155	sensory_system_disease	CHM
DOID:0050155	sensory_system_disease	ACTG1
DOID:0050155	sensory_system_disease	DCN
DOID:0050155	sensory_system_disease	SNRNP200
DOID:0050155	sensory_system_disease	TOPORS
DOID:0050155	sensory_system_disease	GIPC3
DOID:0050155	sensory_system_disease	TULP1
DOID:0050155	sensory_system_disease	USH2A
DOID:0050155	sensory_system_disease	POC1B
DOID:0050155	sensory_system_disease	CNGB1
DOID:0050155	sensory_system_disease	PRPS1
DOID:0050155	sensory_system_disease	CNGB3
DOID:0050155	sensory_system_disease	SAG
DOID:0050155	sensory_system_disease	SIX1
DOID:0050155	sensory_system_disease	CACNA1F
DOID:0050155	sensory_system_disease	GRK1
DOID:0050155	sensory_system_disease	TSPEAR
DOID:0050155	sensory_system_disease	CAPN5
